evidence_id,comparator,title,source_type,version,access_date,url,local_path,claim_supported
MEDPROV-1,medprov,Frozen executable medication provenance method contract,repository_contract,1.0,2026-08-05,,contracts/METHOD_UPGRADE_CONTRACT_v1.0_2026-08-05.md,"The operator schema freezes source, identity, time, event semantics, required metadata, four-state output, trace, and adapters."
PHEKB-1,PheKB,A national resource for validating and disseminating electronic health record-based phenotype algorithms,original_peer_reviewed_paper,2016,2026-08-05,https://pmc.ncbi.nlm.nih.gov/articles/PMC5070514/,,"PheKB supports sharing, validation, and transport of phenotype algorithms, whose exact computability depends on the deposited artifact."
OMOP-1,OMOP CDM and ATLAS,OMOP Common Data Model v5.4,official_specification,5.4,2026-08-05,https://ohdsi.github.io/CommonDataModel/cdm54.html,,"DRUG_EXPOSURE provides standardized drug, type, time, route, quantity, source value, and visit fields but no required literal administration-state field."
OMOP-2,OMOP CDM and ATLAS,The Book of OHDSI: Defining cohorts,official_documentation,current online edition,2026-08-05,https://ohdsi.github.io/TheBookOfOhdsi/Cohorts.html,,ATLAS-style cohort definitions are machine-executable against OMOP and support temporal inclusion logic.
FHIR-1,HL7 FHIR R4 medications,FHIR R4 Medications Module,official_specification,R4,2026-08-05,https://www.hl7.org/fhir/R4/medications-module.html,,"FHIR separates medication request, dispense, and administration resources and defines links among workflow resources."
FHIR-2,HL7 FHIR R4 medications,FHIR R4 MedicationRequest definitions,official_specification,R4,2026-08-05,https://hl7.org/fhir/R4/medicationrequest-definitions.html,,"MedicationRequest includes identifiers, authored time, status, dosage, prior-prescription, and encounter elements, many of which are optional."
FHIR-3,HL7 FHIR R4 medications,FHIR R4 MedicationAdministration,official_specification,R4,2026-08-05,https://hl7.org/fhir/R4/medicationadministration.html,,"MedicationAdministration represents administration status, effective time, request linkage, dosage, route, method, and dose when populated."
FHIR-4,HL7 FHIR R4 medications,FHIR R4 MedicationDispense,official_specification,R4,2026-08-05,https://hl7.org/fhir/R4/medicationdispense.html,,MedicationDispense represents the supply workflow separately from request and administration.
CQL-1,HL7 CQL,Clinical Quality Language specification,official_specification,current published specification,2026-08-05,https://cql.hl7.org/01-introduction.html,,CQL is a machine-executable expression language with data-model bindings and temporal and clinical logic; source data provenance depends on the bound model and implementation.
RECORDPE-1,RECORD-PE,RECORD-PE reporting guideline,original_reporting_statement,2018,2026-08-05,https://www.equator-network.org/reporting-guidelines/record-pe/,,RECORD-PE specifies reporting expectations for pharmacoepidemiologic studies using routinely collected data; it is not an executable representation.
STARTRWE-1,STaRT-RWE,Structured template and reporting tool for real-world evidence,original_peer_reviewed_paper,2021,2026-08-05,https://www.bmj.com/content/372/bmj.m4856,,STaRT-RWE structures protocol and reporting decisions but does not itself execute EHR medication-source reconciliation.
HARPER-1,HARPER,HARmonized Protocol Template to Enhance Reproducibility,original_peer_reviewed_paper,2022,2026-08-05,https://pmc.ncbi.nlm.nih.gov/articles/PMC9771861/,,HARPER improves transparent protocol specification for real-world evidence; it is reporting and design guidance rather than an execution engine.
