sample_order,pmid,pmcid,doi,title,main_text_reviewed,supplements_linked_n,supplements_retrieved_n,supplements_text_reviewable_n,supplement_status,article_specific_repositories_linked_n,article_specific_repositories_retrieved_n,generic_repository_links_n,article_specific_repo_status,article_specific_repository_urls,generic_repository_urls
1,41413648,PMC12830572,10.1038/s41598-025-33211-3,Effect of early prophylactic heparin use on prognosis in critically ill patients with acute pancreatitis: a retrospective cohort study.,True,1,1,1,retrieved_and_reviewed,1,1,0,retrieved_and_reviewed,https://github.com/ding1374/imputation,
2,37256226,PMC10225678,10.3389/fphar.2023.1173893,Effectiveness of early heparin therapy on outcomes in critically ill patients with sepsis-induced coagulopathy.,True,1,1,1,retrieved_and_reviewed,0,0,0,none_linked,,
3,41813773,PMC13171905,10.1038/s41598-026-42395-1,Vancomycin therapeutic drug monitoring is associated with reduced toxicity in ICU patients: a MIMIC-IV retrospective study.,True,1,1,1,retrieved_and_reviewed,0,0,0,none_linked,,
4,41054100,PMC12499784,10.1097/MD.0000000000044744,Effect of acetaminophen on the short-term mortality of hospitalized patients with hypertension: A retrospective cohort study.,True,0,0,0,none_linked,0,0,0,none_linked,,
5,39695560,PMC11658092,10.1186/s12890-024-03441-8,Antibiotics versus Non-Antibiotic in the treatment of Aspiration Pneumonia: analysis of the MIMIC-IV database.,True,6,6,1,retrieved_and_reviewed,0,0,0,none_linked,,
6,40943845,PMC12429005,10.3390/jcm14176086,The Long-Term Efficacy of Cephalosporin in Elderly Hip Fracture Patients: A Comprehensive Analysis.,True,1,1,1,retrieved_and_reviewed,0,0,0,none_linked,,
7,41037129,PMC12935770,10.1007/s00210-025-04653-3,Investigating the impact of ramelteon on all-cause mortality in ischemic stroke ICU patients: a retrospective propensity-matched study from the MIMIC-IV database.,True,2,2,2,retrieved_and_reviewed,0,0,0,none_linked,,
8,41413861,PMC12784597,10.1186/s12876-025-04499-2,Aspirin reduces short-term mortality risk in critically ill patients with liver cirrhosis: a propensity-score matched retrospective analysis using the MIMIC-IV database.,True,2,2,2,retrieved_and_reviewed,0,0,0,none_linked,,
9,40130229,PMC11932333,10.1093/ckj/sfaf037,Prophylactic proton pump inhibitor usage and new-onset acute kidney injury in critically ill patients: a retrospective analysis.,True,1,1,1,retrieved_and_reviewed,0,0,1,generic_repository_only,,https://github.com/MIT-LCP/mimic-code
10,41190021,PMC12580101,10.3389/fphar.2025.1551495,The use of magnesium sulfate can reduce the mortality risk of cirrhosis patients: a retrospective cohort study.,True,2,2,2,retrieved_and_reviewed,0,0,1,generic_repository_only,,https://github.com/MIT-LCP/mimic-iv
11,35600874,PMC9117634,10.3389/fphar.2022.898422,Effects of Gastric Acid Secretion Inhibitors for Ventilator-Associated Pneumonia.,True,2,2,2,retrieved_and_reviewed,0,0,0,none_linked,,
12,40128664,PMC11931801,10.1186/s12876-025-03763-9,Optimizing outcomes in acute pancreatitis: the impact of of heparin therapy duration on mortality in a multi-center retrospective study.,True,0,0,0,none_linked,0,0,0,none_linked,,
13,37908905,PMC10613586,10.7759/cureus.46237,A Retrospective Cohort Study of the Association of Inpatient Amlodipine Dose With Renal Complication Rates and Hospital Length of Stay.,True,0,0,0,none_linked,0,0,0,none_linked,,
14,38094120,PMC10716269,10.3389/fcvm.2023.1300839,Vasopressors and inotropes in cardiogenic shock patients: an analysis of the MIMIC-IV database.,True,2,2,0,retrieved_and_reviewed,0,0,0,none_linked,,
15,41890797,PMC13012946,10.3389/fneur.2026.1753639,Early prophylactic heparin use is associated with reduced mortality in patients with non-traumatic subarachnoid hemorrhage.,True,1,1,1,retrieved_and_reviewed,0,0,0,none_linked,,
