anchor_id	comparison	order_exposure	administration_exposure	expected_units_n	actual_units_n	expected_outcomes_n	actual_outcomes_n	status
A1	metadata_constrained_broad	0	0	7546	7546	892	892	PASS
A1	metadata_constrained_broad	0	1	5655	5655	420	420	PASS
A1	metadata_constrained_broad	1	0	519	519	125	125	PASS
A1	metadata_constrained_broad	1	1	6528	6528	1093	1093	PASS
A1	original_broad	0	0	7385	7385	874	874	PASS
A1	original_broad	0	1	5816	5816	438	438	PASS
A1	original_broad	1	0	501	501	121	121	PASS
A1	original_broad	1	1	6546	6546	1097	1097	PASS
A1	original_strict	0	0	13201	13201	1312	1312	PASS
A1	original_strict	1	0	1509	1509	205	205	PASS
A1	original_strict	1	1	5538	5538	1013	1013	PASS
A2	hospital_overlap_broad	0	0	1837	1837	702	702	PASS
A2	hospital_overlap_broad	0	1	200	200	58	58	PASS
A2	hospital_overlap_broad	1	0	106	106	65	65	PASS
A2	hospital_overlap_broad	1	1	670	670	344	344	PASS
A2	hospital_overlap_strict	0	0	2037	2037	760	760	PASS
A2	hospital_overlap_strict	1	0	255	255	102	102	PASS
A2	hospital_overlap_strict	1	1	521	521	307	307	PASS
A2	original_broad	0	0	1862	1862	714	714	PASS
A2	original_broad	0	1	296	296	81	81	PASS
A2	original_broad	1	0	81	81	53	53	PASS
A2	original_broad	1	1	574	574	321	321	PASS
A2	original_strict	0	0	2158	2158	795	795	PASS
A2	original_strict	1	0	137	137	69	69	PASS
A2	original_strict	1	1	518	518	305	305	PASS
