random_rank,pmid,pmcid,doi,publication_year,title,eligibility,screen_reason
1,39502227,PMC11535336,10.1016/j.heliyon.2024.e39494,2024,Development and validation of a dynamic nomogram for short-term survival in acute heart failure patients with acute kidney injury upon ICU admission.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
2,41366266,PMC12753698,10.1038/s41598-025-28609-y,2025,Prognostic nutritional indices predict 60 day mortality in ICU patients with sepsis.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
3,41413648,PMC12830572,10.1038/s41598-025-33211-3,2025,Effect of early prophylactic heparin use on prognosis in critically ill patients with acute pancreatitis: a retrospective cohort study.,included,focal medication exposure associated with a clinical outcome
4,37256226,PMC10225678,10.3389/fphar.2023.1173893,2023,Effectiveness of early heparin therapy on outcomes in critically ill patients with sepsis-induced coagulopathy.,included,focal medication exposure associated with a clinical outcome
5,39058855,PMC11272324,10.1097/MD.0000000000039029,2024,Association between the anion-gap and 28-day mortality in critically ill adult patients with sepsis: A retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
6,41813773,PMC13171905,10.1038/s41598-026-42395-1,2026,Vancomycin therapeutic drug monitoring is associated with reduced toxicity in ICU patients: a MIMIC-IV retrospective study.,included,focal medication exposure associated with a clinical outcome
7,41248367,PMC12625876,10.1136/bmjopen-2025-099781,2025,Non-linear relationship between ionised calcium and 28-day mortality in patients with sepsis: a retrospective cohort study from MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
8,39223451,PMC11368036,10.1186/s12872-024-04138-w,2024,The glycemic gap as a prognostic indicator in cardiogenic shock: a retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
9,41725925,PMC12916672,10.3389/fcvm.2026.1638901,2026,Red blood cell distribution width to albumin ratio predicts mortality in heart failure patients with pneumonia.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
10,41054100,PMC12499784,10.1097/MD.0000000000044744,2025,Effect of acetaminophen on the short-term mortality of hospitalized patients with hypertension: A retrospective cohort study.,included,focal medication exposure associated with a clinical outcome
11,39695560,PMC11658092,10.1186/s12890-024-03441-8,2024,Antibiotics versus Non-Antibiotic in the treatment of Aspiration Pneumonia: analysis of the MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
12,40000743,PMC11862077,10.1038/s41598-025-91012-0,2025,Association of blood urea nitrogen to glucose ratio with 365-day mortality in critically ill patients with chronic kidney disease: a retrospective study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
13,40943845,PMC12429005,10.3390/jcm14176086,2025,The Long-Term Efficacy of Cephalosporin in Elderly Hip Fracture Patients: A Comprehensive Analysis.,included,focal medication exposure associated with a clinical outcome
14,41169465,PMC12568326,10.3389/fendo.2025.1675152,2025,Triglyceride-glucose index and mortality in congestive heart failure with diabetes: a machine learning predictive model.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
15,36262546,PMC9576422,10.1155/2022/2151840,2022,The Association of Blood Urea Nitrogen to Creatinine Ratio and the Prognosis of Critically Ill Patients with Cerebral Infarction: A Cohort Study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
16,41037129,PMC12935770,10.1007/s00210-025-04653-3,2026,Investigating the impact of ramelteon on all-cause mortality in ischemic stroke ICU patients: a retrospective propensity-matched study from the MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
17,41598821,PMC12842087,10.3390/jcm15020884,2026,Platelet Recovery and Mortality in Septic Patients with Thrombocytopenia: A Propensity Score-Matched Analysis of the MIMIC-IV Database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
18,41413861,PMC12784597,10.1186/s12876-025-04499-2,2025,Aspirin reduces short-term mortality risk in critically ill patients with liver cirrhosis: a propensity-score matched retrospective analysis using the MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
19,37365506,PMC10291766,10.1186/s12879-023-08387-6,2023,Organism type of infection is associated with prognosis in sepsis: an analysis from the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
20,40130229,PMC11932333,10.1093/ckj/sfaf037,2025,Prophylactic proton pump inhibitor usage and new-onset acute kidney injury in critically ill patients: a retrospective analysis.,included,focal medication exposure associated with a clinical outcome
21,34869405,PMC8635043,10.3389/fmed.2021.694520,2021,Machine Learning Approach to Predict Positive Screening of Methicillin-Resistant Staphylococcus aureus During Mechanical Ventilation Using Synthetic Dataset From MIMIC-IV Database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
22,40564453,PMC12189321,10.3390/bioengineering12060637,2025,Application of a Nomogram Model in Predicting Postoperative Delirium Following Percutaneous Coronary Intervention.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
23,41190021,PMC12580101,10.3389/fphar.2025.1551495,2025,The use of magnesium sulfate can reduce the mortality risk of cirrhosis patients: a retrospective cohort study.,included,focal medication exposure associated with a clinical outcome
24,37076114,PMC10214571,10.1111/crj.13614,2023,Alveolar-arterial oxygen gradient nonlinearly impacts the 28-day mortality of patients with sepsis: Secondary data mining based on the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
25,40276552,PMC12018253,10.3389/fendo.2025.1521850,2025,Associations between triglyceride-glucose indices and delirium risk in critically ill patients with acute kidney injury: a retrospective study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
26,35600874,PMC9117634,10.3389/fphar.2022.898422,2022,Effects of Gastric Acid Secretion Inhibitors for Ventilator-Associated Pneumonia.,included,focal medication exposure associated with a clinical outcome
27,41535884,PMC12888278,10.1186/s40001-026-03904-0,2026,Prognostic usefulness of temperature in congestive heart failure with acute myocardial infarction: a retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
28,39055391,PMC11269398,10.2147/COPD.S465752,2024,Association Between the Serum Phosphate Levels and Hospital Mortality as Well as 90-Day Mortality Among Critically Ill Patients with Chronic Obstructive Pulmonary Disease: A Retrospective Cohort Study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
29,39371151,PMC11451809,10.1101/2024.09.19.24313992,2025,Evaluation of Care Quality for Atrial Fibrillation Across Non-Interoperable Electronic Health Record Data using a Retrieval-Augmented Generation-enabled Large Language Model.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
30,42211285,PMC13213126,10.1177/20552076261455203,2026,An interpretable machine learning model for predicting acute respiratory distress syndrome in critically ill patients with acute pancreatitis: A multicenter retrospective study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
31,41580614,PMC12911284,10.1186/s12879-026-12541-1,2026,Stress hyperglycemia ratio in risk stratification and treatment optimization for patients on invasive mechanical ventilation: a secondary analysis of the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
32,40128664,PMC11931801,10.1186/s12876-025-03763-9,2025,Optimizing outcomes in acute pancreatitis: the impact of of heparin therapy duration on mortality in a multi-center retrospective study.,included,focal medication exposure associated with a clinical outcome
33,41023826,PMC12482063,10.1186/s12872-025-05195-5,2025,Elevated triglyceride-glucose index and acute kidney injury risk in critical atrial fibrillation: an analysis from MIMIC-IV.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
34,37908905,PMC10613586,10.7759/cureus.46237,2023,A Retrospective Cohort Study of the Association of Inpatient Amlodipine Dose With Renal Complication Rates and Hospital Length of Stay.,included,focal medication exposure associated with a clinical outcome
35,41132208,PMC12540422,10.3389/fpsyt.2025.1672186,2025,The association of the triglyceride-glucose index and its changes with 5-year all-cause mortality in patients with depression.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
36,40275131,PMC12020299,10.1186/s12872-025-04711-x,2025,The relationship between hemoglobin glycation index and all-cause mortality in ill critically patients with heart failure: a retrospective study in MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
37,41341126,PMC12668940,10.3389/fendo.2025.1637119,2025,Comparison of the predictive value of different non-insulin-based insulin resistance indices for acute kidney injury in patients with sepsis: a retrospective study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
38,38448409,PMC10917736,10.1038/s41467-024-46211-0,2024,Deep learning model for personalized prediction of positive MRSA culture using time-series electronic health records.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
39,37940979,PMC10634170,10.1186/s12933-023-02047-4,2023,Association between triglyceride glucose-body mass and one-year all-cause mortality of patients with heart failure: a retrospective study utilizing the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
40,37312120,PMC10262584,10.1186/s12933-023-01864-x,2023,Association between triglyceride-glucose index and all-cause mortality in critically ill patients with ischemic stroke: analysis of the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
41,38094120,PMC10716269,10.3389/fcvm.2023.1300839,2023,Vasopressors and inotropes in cardiogenic shock patients: an analysis of the MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
42,40176015,PMC11967114,10.1186/s12890-025-03597-x,2025,The impact of the triglyceride-glucose index on the risk of respiratory failure in patients with COPD: a study from the MIMIC database and Chinese cohorts.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
43,39354398,PMC11443761,10.1186/s12879-024-10005-y,2024,The triglyceride-glucose index dynamic trajectory reveals the association between the clinical subphenotype of insulin resistance and mortality in patients with sepsis.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
44,41184772,PMC12581280,10.1186/s12872-025-05264-9,2025,Development and validation of a predictive model for survival outcomes in patients with paroxysmal versus persistent atrial fibrillation: a retrospective cohort study based on the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
45,40939437,PMC12834062,10.1016/j.clinsp.2025.100775,2025,Predicting readmission rates in critically ill heart failure patients during a 90-day vulnerable phase using interpretable machine learning models.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
46,41890797,PMC13012946,10.3389/fneur.2026.1753639,2026,Early prophylactic heparin use is associated with reduced mortality in patients with non-traumatic subarachnoid hemorrhage.,included,focal medication exposure associated with a clinical outcome
47,39562796,PMC11577067,10.1038/s41598-024-74294-8,2024,Predictive value of triglyceride-glucose index for the occurrence of acute respiratory failure in asthmatic patients of MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
48,38163183,PMC10754857,10.1016/j.heliyon.2023.e23148,2024,Comparison of risk prediction models for the progression of pelvic inflammatory disease patients to sepsis: Cox regression model and machine learning model.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
49,41585791,PMC12827127,10.3389/fendo.2025.1698418,2025,Dynamic trajectories of the triglyceride-glucose index link to all-cause hospital mortality in patients with hypertension and kidney failure: a multicenter study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
50,41261606,PMC12582845,10.1097/MD.0000000000045746,2025,Association between vasoactive drug use and 28-day in-hospital mortality in patients with septic shock in the intensive care unit: A retrospective study based on the MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
51,40755813,PMC12315831,10.1080/08839514.2025.2519169,2025,A Pipeline for Automating Emergency Medicine Documentation Using LLMs with Retrieval-Augmented Text Generation.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
52,39402158,PMC11473526,10.1038/s41598-024-75050-8,2024,A retrospective study utilized MIMIC-IV database to explore the potential association between triglyceride-glucose index and mortality in critically ill patients with sepsis.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
53,41741602,PMC13031553,10.1038/s41598-026-40860-5,2026,Association of antibiotic type and timing with sepsis mortality using target trial emulation.,included,focal medication exposure associated with a clinical outcome
54,41873917,PMC13014011,10.1177/00368504261436075,2026,Development and validation of an online machine-learning tool for predicting delirium risk in older adults with type 2 diabetes: A retrospective cohort study based on the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
55,38863896,PMC11165203,10.3389/fcvm.2024.1361542,2024,The association between frailty and in-hospital mortality in critically ill patients with congestive heart failure: results from MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
56,40507457,PMC12156054,10.3390/jcm14113697,2025,Predicting Mortality in Atrial Fibrillation Patients Treated with Direct Oral Anticoagulants: A Machine Learning Study Based on the MIMIC-IV Database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
57,41826786,PMC12987759,10.1002/phar.70131,2026,DILIConsult: A Multi-Agent Large Language Model Framework for Evaluating Drug-Induced Liver Injury in ICU Settings.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
58,41398831,PMC12708175,10.1097/MD.0000000000046407,2025,Relationship between antibiotic use and mortality in critical care patients undergoing hip and knee arthroplasty: A propensity score matching analysis.,included,focal medication exposure associated with a clinical outcome
59,41698651,PMC12909770,10.1177/03000605261421028,2026,Development and internal validation of a nomogram to predict in-hospital mortality in patients with cirrhosis and acute kidney injury receiving continuous renal replacement therapy: A retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
60,38962445,PMC11221264,10.3389/fnut.2024.1399969,2024,Association between triglyceride glucose-body mass index and all-cause mortality in critically ill patients with acute myocardial infarction: retrospective analysis of the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
61,40887601,PMC12398970,10.1186/s40001-025-03128-8,2025,The association between triglyceride glucose-body mass index and mortality in intensive care unit patients: a propensity score matching analysis.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
62,38607315,PMC11015761,10.1177/14799731241245424,2024,Independent effect of the triglyceride-glucose index on all-cause mortality in critically ill patients with chronic obstructive pulmonary disease and asthma: A retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
63,38961499,PMC11220947,10.1186/s13054-024-05011-0,2024,The impact of norepinephrine dose reporting heterogeneity on mortality prediction in septic shock patients.,included,focal medication exposure associated with a clinical outcome
64,40083381,PMC11903409,10.3389/fphar.2025.1518716,2025,Unfractionated heparin may improve near-term survival in patients admitted to the ICU with sepsis attributed to pneumonia: an observational study using the MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
65,41631998,PMC13105501,10.1097/JS9.0000000000004773,2026,"Delayed anticoagulation is associated with lower mortality in sepsis-induced coagulopathy: a large-scale, propensity-score-matched cohort study from MIMIC-IV.",included,focal medication exposure associated with a clinical outcome
66,36578542,PMC9792095,10.3389/fphar.2022.1037893,2022,Association between different concentrations of human serum albumin and 28-day mortality in intensive care patients with sepsis: A propensity score matching analysis.,included,focal medication exposure associated with a clinical outcome
67,41331420,PMC12777107,10.1186/s12883-025-04534-5,2025,The triglyceride-glucose index assesses mortality in patients with cerebral hemorrhage: a retrospective analysis based on a critical care medical database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
68,40128879,PMC11934728,10.1186/s13098-025-01676-x,2025,Exploring the impact of glycemic variability on clinical outcomes in critically ill cerebral infarction patients.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
69,41877141,PMC13045045,10.1186/s12933-026-03139-7,2026,Dynamic association between triglyceride-glucose-body mass index and hospital mortality in critically ill patients with heart failure: a multicenter retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
70,42490849,PMC13375620,10.3389/fcimb.2026.1814760,2026,Association between pravastatin use and short-term mortality in ICU patients with sepsis: a retrospective propensity score-matched cohort study.,included,focal medication exposure associated with a clinical outcome
71,38664780,PMC11046846,10.1186/s12933-024-02231-0,2024,Long-term survival in stroke patients: insights into triglyceride-glucose body mass index from ICU data.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
72,40379745,PMC12084581,10.1038/s41598-025-01549-3,2025,Association between triglyceride glucose body mass index and 1 year all cause mortality in stage 4 CKM syndrome patients.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
73,40128768,PMC11934460,10.1186/s12933-025-02697-6,2025,Association between triglyceride-glucose index and mortality in critically ill patients with atrial fibrillation: a retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
74,40747249,PMC12311572,10.1016/j.apjon.2025.100760,2025,Interpretable machine learning-based prediction of mortality in critical cancer patients with delirium: A retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
75,42156820,PMC13385807,10.1038/s41598-026-52185-4,2026,Development of a mortality prediction nomogram for dementia patients using the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
76,40102760,PMC11916307,10.1186/s12876-025-03771-9,2025,Association between the triglyceride glucose index and the risk of acute respiratory failure in patients with acute pancreatitis.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
77,41799201,PMC12964219,10.7150/thno.122991,2026,H3K18 lactylation-mediated SPHK1-SIRT1 feedback loop accelerates pyroptosis of tubular epithelial cells in sepsis-associated acute kidney injury.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
78,41211069,PMC12591243,10.14740/gr2062,2025,Enabling Drug-Induced Liver Injury Surveillance Through Automated Medication Extraction From Clinical Notes: A Medical Information Mart for Intensive Care IV Real-World Large Language Models Validation Study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
79,39346559,PMC11427301,10.3389/fphar.2024.1402386,2024,Aspirin reduces the mortality risk of patients with community-acquired pneumonia: a retrospective propensity-matched analysis of the MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
80,40885980,PMC12398048,10.1186/s12911-025-03130-4,2025,Edge computing with federated learning for early detection of citric acid overdose and adjustment of regional citrate anticoagulation.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
81,38821022,PMC11177052,10.1016/j.ebiom.2024.105169,2024,Daily variation in blood glucose levels during continuous enteral nutrition in patients on the intensive care unit: a retrospective observational study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
82,38865385,PMC11168641,10.1371/journal.pone.0300656,2024,Association between estimated plasma volume status and acute kidney injury in patients who underwent coronary revascularization: A retrospective cohort study from the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
83,41024001,PMC12481762,10.1186/s12944-025-02739-8,2025,The C-reactive protein-triglyceride-glucose index (CTI) as a predictor of mortality and hospital stay in critically ill patients: a retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
84,41356015,PMC12678119,10.3389/fendo.2025.1699936,2025,Antidiabetic and lipid-lowering therapy modify the association between triglyceride-glucose index and acute kidney injury in critically ill patients with coronary artery disease.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
85,35629084,PMC9143326,10.3390/jpm12050661,2022,"Guiding Efficient, Effective, and Patient-Oriented Electrolyte Replacement in Critical Care: An Artificial Intelligence Reinforcement Learning Approach.",excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
86,36593000,PMC9809246,10.1136/bmjopen-2022-069333,2023,Survival benefits of oral anticoagulation therapy in acute kidney injury patients with atrial fibrillation: a retrospective study from the MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
87,41593539,PMC12924432,10.1186/s12879-026-12682-3,2026,Impact of glucocorticoid therapy on short- and long-term mortality in immunocompromised patients with community-acquired pneumonia in the ICU: a retrospective cohort study.,included,focal medication exposure associated with a clinical outcome
88,39611174,PMC11602295,10.3389/fphar.2024.1458600,2024,Monitoring vancomycin blood concentrations reduces mortality risk in critically ill patients: a retrospective cohort study using the MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
89,40933763,PMC12419209,10.2147/JMDH.S533031,2025,Predicting 28-Day Mortality in Critically Ill Patients Receiving Continuous Renal Replacement Therapy: A Novel Interpretable Machine Learning Approach.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
90,39734194,PMC11684314,10.1186/s12872-024-04450-5,2024,Differential impact of TyG and TyG-BMI indices on short- and long-term mortality in critically ill ischemic stroke patients.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
91,39175047,PMC11340174,10.1186/s12944-024-02252-4,2024,Predictive value of the triglyceride-glucose index for short- and long-term all-cause mortality in patients with critical coronary artery disease: a cohort study from the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
92,40053791,PMC11926454,10.2196/68509,2025,Machine Learning Models With Prognostic Implications for Predicting Gastrointestinal Bleeding After Coronary Artery Bypass Grafting and Guiding Personalized Medicine: Multicenter Cohort Study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
93,40977966,PMC12443738,10.3389/fnut.2025.1649553,2025,Correlation of triglyceride-glucose index with the incidence and prognosis of hyperglycemic crises in critically ill patients with diabetes mellitus: a machine-learning-based multicenter retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
94,39994563,PMC11849171,10.1186/s12879-025-10649-4,2025,The association between the triglyceride‒glucose index and short-term mortality in ICU patients with sepsis-associated acute kidney injury.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
