study_id	valid	reported_dimensions_n	missing_or_ambiguous_dimensions	database_executable_operator
mimic-medication-01	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-02	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-03	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-04	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-05	True	1	source_layer|identity_rule|event_semantics_map|required_metadata	False
mimic-medication-06	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-07	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-08	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-09	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-10	True	3	identity_rule|event_semantics_map	False
mimic-medication-11	True	1	source_layer|identity_rule|event_semantics_map|required_metadata	False
mimic-medication-12	True	1	source_layer|identity_rule|event_semantics_map|required_metadata	False
mimic-medication-13	True	3	identity_rule|event_semantics_map	False
mimic-medication-14	True	1	source_layer|identity_rule|event_semantics_map|required_metadata	False
mimic-medication-15	True	3	identity_rule|event_semantics_map	False
mimic-medication-16	True	1	source_layer|identity_rule|time_origin_window|event_semantics_map	False
mimic-medication-17	True	1	source_layer|identity_rule|event_semantics_map|required_metadata	False
mimic-medication-18	True	1	source_layer|identity_rule|event_semantics_map|required_metadata	False
mimic-medication-19	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-20	True	2	source_layer|time_origin_window|event_semantics_map	False
mimic-medication-21	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-22	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-23	True	2	identity_rule|event_semantics_map|required_metadata	False
mimic-medication-24	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-25	True	1	source_layer|identity_rule|time_origin_window|event_semantics_map	False
mimic-medication-26	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-27	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-28	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-29	True	3	identity_rule|event_semantics_map	False
mimic-medication-30	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-31	True	3	identity_rule|event_semantics_map	False
mimic-medication-32	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-33	True	1	source_layer|identity_rule|event_semantics_map|required_metadata	False
mimic-medication-34	True	0	source_layer|identity_rule|time_origin_window|event_semantics_map|required_metadata	False
mimic-medication-35	True	3	time_origin_window|event_semantics_map	False
mimic-medication-36	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-37	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-38	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-39	True	2	source_layer|identity_rule|event_semantics_map	False
mimic-medication-40	True	1	source_layer|identity_rule|event_semantics_map|required_metadata	False
