sample_order,random_rank,pmid,pmcid,doi,publication_year,title,supplement_status,article_specific_repo_status,article_specific_repository_urls,coder_id,review_date,main_text_reviewed,supplement_reviewed,linked_repo_reviewed,source_layer,named_native_table_reported,database_identity_rule_reported,time_origin_and_window_reported,event_semantics_reported,dose_or_route_reported,evidence_location,coder_notes
1,3,41413648,PMC12830572,10.1038/s41598-025-33211-3,2025,Effect of early prophylactic heparin use on prognosis in critically ill patients with acute pancreatitis: a retrospective cohort study.,retrieved_and_reviewed,retrieved_and_reviewed,https://github.com/ding1374/imputation,,,,,,,,,,,,,
2,4,37256226,PMC10225678,10.3389/fphar.2023.1173893,2023,Effectiveness of early heparin therapy on outcomes in critically ill patients with sepsis-induced coagulopathy.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
3,6,41813773,PMC13171905,10.1038/s41598-026-42395-1,2026,Vancomycin therapeutic drug monitoring is associated with reduced toxicity in ICU patients: a MIMIC-IV retrospective study.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
4,10,41054100,PMC12499784,10.1097/MD.0000000000044744,2025,Effect of acetaminophen on the short-term mortality of hospitalized patients with hypertension: A retrospective cohort study.,none_linked,none_linked,,,,,,,,,,,,,,
5,11,39695560,PMC11658092,10.1186/s12890-024-03441-8,2024,Antibiotics versus Non-Antibiotic in the treatment of Aspiration Pneumonia: analysis of the MIMIC-IV database.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
6,13,40943845,PMC12429005,10.3390/jcm14176086,2025,The Long-Term Efficacy of Cephalosporin in Elderly Hip Fracture Patients: A Comprehensive Analysis.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
7,16,41037129,PMC12935770,10.1007/s00210-025-04653-3,2026,Investigating the impact of ramelteon on all-cause mortality in ischemic stroke ICU patients: a retrospective propensity-matched study from the MIMIC-IV database.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
8,18,41413861,PMC12784597,10.1186/s12876-025-04499-2,2025,Aspirin reduces short-term mortality risk in critically ill patients with liver cirrhosis: a propensity-score matched retrospective analysis using the MIMIC-IV database.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
9,20,40130229,PMC11932333,10.1093/ckj/sfaf037,2025,Prophylactic proton pump inhibitor usage and new-onset acute kidney injury in critically ill patients: a retrospective analysis.,retrieved_and_reviewed,generic_repository_only,,,,,,,,,,,,,,
10,23,41190021,PMC12580101,10.3389/fphar.2025.1551495,2025,The use of magnesium sulfate can reduce the mortality risk of cirrhosis patients: a retrospective cohort study.,retrieved_and_reviewed,generic_repository_only,,,,,,,,,,,,,,
