sample_order,random_rank,pmid,pmcid,doi,publication_year,title,medication_construct,source_layer,source_evidence,named_native_table_reported,database_identity_rule_reported,identity_evidence,time_origin_and_window_reported,time_evidence,event_semantics_reported,dose_or_route_reported,dose_route_evidence,fully_executable_exposure_operator,main_text_reviewed,supplements_linked_n,supplements_retrieved_n,supplement_status,article_specific_repositories_linked_n,article_specific_repositories_retrieved_n,article_specific_repo_status,coding_stage,primary_coders_n,independent_second_coder_complete
1,3,41413648,PMC12830572,10.1038/s41598-025-33211-3,2025,Effect of early prophylactic heparin use on prognosis in critically ill patients with acute pancreatitis: a retrospective cohort study.,early prophylactic unfractionated heparin,administration,receipt within the ICU window,False,False,clinical name only,True,within 24 h after ICU admission,False,True,"5000 U/mL, 1 mL, subcutaneous",False,True,1,1,retrieved_and_reviewed,1,1,retrieved_and_reviewed,main_text_plus_linked_supplements_and_repositories,1,False
2,4,37256226,PMC10225678,10.3389/fphar.2023.1173893,2023,Effectiveness of early heparin therapy on outcomes in critically ill patients with sepsis-induced coagulopathy.,early unfractionated heparin,administration,receipt of subcutaneous UFH,False,False,clinical name only,True,first 24 h after ICU admission,False,True,subcutaneous route,False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
3,6,41813773,PMC13171905,10.1038/s41598-026-42395-1,2026,Vancomycin therapeutic drug monitoring is associated with reduced toxicity in ICU patients: a MIMIC-IV retrospective study.,vancomycin TDM strategy,administration,intravenous vancomycin receipt plus TDM,False,False,clinical name only,True,after ICU admission/during ICU treatment,False,True,intravenous route,False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
4,10,41054100,PMC12499784,10.1097/MD.0000000000044744,2025,Effect of acetaminophen on the short-term mortality of hospitalized patients with hypertension: A retrospective cohort study.,acetaminophen use,administration,at least one hospitalization administration record,False,False,clinical name only,True,during the hospitalization,False,True,dose and treatment duration analysed,False,True,0,0,none_linked,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
5,11,39695560,PMC11658092,10.1186/s12890-024-03441-8,2024,Antibiotics versus Non-Antibiotic in the treatment of Aspiration Pneumonia: analysis of the MIMIC-IV database.,antibiotic use,administration,antibiotic administration,False,False,drug class only,True,24 h before to 48 h after ICU admission,False,False,not specified,False,True,6,6,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
6,13,40943845,PMC12429005,10.3390/jcm14176086,2025,The Long-Term Efficacy of Cephalosporin in Elderly Hip Fracture Patients: A Comprehensive Analysis.,cephalosporin/antibiotic exposure,administration,detailed antibiotic administration records,False,False,drug-category labels only,True,during hospitalization,False,True,cumulative defined daily dose,False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
7,16,41037129,PMC12935770,10.1007/s00210-025-04653-3,2026,Investigating the impact of ramelteon on all-cause mortality in ischemic stroke ICU patients: a retrospective propensity-matched study from the MIMIC-IV database.,ramelteon exposure,hybrid,prescription plus documented administration,False,False,clinical name only,True,during ICU/hospital stay,False,True,"cumulative dose, standard dose, enteral route",False,True,2,2,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
8,18,41413861,PMC12784597,10.1186/s12876-025-04499-2,2025,Aspirin reduces short-term mortality risk in critically ill patients with liver cirrhosis: a propensity-score matched retrospective analysis using the MIMIC-IV database.,aspirin exposure,order,oral aspirin prescription,False,False,clinical name only,True,first 72 h after ICU admission,False,True,oral route,False,True,2,2,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
9,20,40130229,PMC11932333,10.1093/ckj/sfaf037,2025,Prophylactic proton pump inhibitor usage and new-onset acute kidney injury in critically ill patients: a retrospective analysis.,prophylactic PPI exposure,order,prescription start/end records,False,False,clinical PPI class only,True,6 h before to 48 h after ICU admission,False,True,route and dosage recorded,False,True,1,1,retrieved_and_reviewed,0,0,generic_repository_only,main_text_plus_linked_supplements_and_repositories,1,False
10,23,41190021,PMC12580101,10.3389/fphar.2025.1551495,2025,The use of magnesium sulfate can reduce the mortality risk of cirrhosis patients: a retrospective cohort study.,intravenous magnesium sulfate,order,prescriptions table,True,False,clinical name only,True,after ICU admission without a tighter limit,False,True,intravenous route,False,True,2,2,retrieved_and_reviewed,0,0,generic_repository_only,main_text_plus_linked_supplements_and_repositories,1,False
