gate_id,domain,locked_rule,pass_definition,fail_action
G01,source_integrity,"All source files remain read-only and all derived files are under project root","No source mtime/hash change attributable to pipeline","NO-GO and stop"
G02,full_emar,"Full eMAR event_txt counts reconcile exactly to full table row count; no sampling or ignored parse errors","Distribution sum equals total rows","NO-GO and repair before any model"
G03,poe_link,"Report nonmissing poe_id and same-subject/same-hadm POE link completeness","Audit produced; anchor-class link coverage not below 50% in both anchors","NO-GO if fatal threshold met"
G04,emar_detail,"Dose/route/not-given-related fields audited for all whitelisted eMAR events","All requested fields and denominators reported","HOLD until repaired"
G05,dictionary_orphans,"Complete relevant d_items zero-fact-row list produced and itemid 225925 reproduced","225925 exists in d_items and has zero inputevents rows; complete list written","HOLD if not reproduced"
G06,event_exclusions,"Flushed Confirmed and blank event_txt remain three separate categories outside denominator","All three explicit and denominator flags zero","NO-GO and repair"
G07,class_coverage,"All six frozen strict classes retained","Six class rows reported; low-count rows labeled rather than dropped","NO-GO if any class silently removed"
G08,negative_stop_loss,"All six conversion point estimates >97% and no meaningful OASIS association","If condition true final decision cannot exceed BACKUP and classes/windows cannot expand","Complete negative report"
G09,association_A1,"A1 fitted under identical cohort/covariates for order and administration definitions","Both estimates and cross-classification produced","NO-GO only if fatal cohort threshold met"
G10,association_A2,"A2 fitted under identical cohort/covariates for order and administration definitions","Both estimates and cross-classification produced","NO-GO only if fatal cohort threshold met"
G11,material_effect_change,"Direction reversal or abs log change >= log(1.25) or relative abs log change >=25%","At least one anchor meets one locked criterion","Required for GO; otherwise BACKUP"
G12,eicu_boundary,"eICU used only for interface semantic contrast","No treatment/outcome validation claim or model","Repair wording before completion"
G13,prohibited_methods,"No causal drug claim nomogram ML SHAP or significance-based selection","Automated text/code scan passes","NO-GO until repaired"
G14,reproducibility,"Scripts logs manifests Python environment R sessionInfo and QDP 01-07 present","Validation script passes all required assets","HOLD until complete"

