dataset,source_table,native_id,label,role,tier,semantics,reason
MIMIC-IV 3.1,icu/procedureevents,225802,Dialysis - CRRT,crrt,strict,procedure interval/event,exact d_items label and linksto
MIMIC-IV 3.1,icu/procedureevents,225803,Dialysis - CVVHD,crrt,strict,procedure interval/event,exact d_items label and linksto
MIMIC-IV 3.1,icu/procedureevents,225809,Dialysis - CVVHDF,crrt,strict,procedure interval/event,exact d_items label and linksto
MIMIC-IV 3.1,icu/procedureevents,225955,Dialysis - SCUF,crrt,strict,procedure interval/event,exact d_items label and linksto
MIMIC-IV 3.1,icu/chartevents,220048,Heart Rhythm,heart_rhythm,strict,timestamped chart/input event,exact d_items label and linksto
MIMIC-IV 3.1,icu/procedureevents,225792,Invasive Ventilation,invasive_ventilation,strict,procedure interval/event,exact d_items label and linksto
MIMIC-IV 3.1,icu/procedureevents,225794,Non-invasive Ventilation,noninvasive_ventilation,strict,procedure interval/event,exact d_items label and linksto
MIMIC-IV 3.1,icu/inputevents,225801,Lipids 20%,nutrition,broad_only,administration-like,parenteral component/lipid alone; sensitivity only
MIMIC-IV 3.1,icu/inputevents,225947,Dextrose PN,nutrition,broad_only,administration-like,parenteral component/lipid alone; sensitivity only
MIMIC-IV 3.1,icu/inputevents,225948,Amino Acids,nutrition,broad_only,administration-like,parenteral component/lipid alone; sensitivity only
MIMIC-IV 3.1,icu/inputevents,225969,Lipids (additive),nutrition,broad_only,administration-like,parenteral component/lipid alone; sensitivity only
MIMIC-IV 3.1,icu/inputevents,227090,Lipids 10%,nutrition,broad_only,administration-like,parenteral component/lipid alone; sensitivity only
MIMIC-IV 3.1,icu/inputevents,222139,Potassium ACEtate,nutrition,exclude,administration-like,supplement/additive alone; not nutrition initiation
MIMIC-IV 3.1,icu/inputevents,222190,Ranitidine,nutrition,exclude,administration-like,ranitidine miscoded in nutrition category
MIMIC-IV 3.1,icu/inputevents,225918,Aminosyn 3.5%,nutrition,exclude,administration-like,supplement/additive alone; not nutrition initiation
MIMIC-IV 3.1,icu/inputevents,225919,D5 Aminosyn 3.5%,nutrition,exclude,administration-like,supplement/additive alone; not nutrition initiation
MIMIC-IV 3.1,icu/inputevents,225921,Hepatamine,nutrition,exclude,administration-like,supplement/additive alone; not nutrition initiation
